Peak,Peak Time,Valley,Valley Time
0.5776978,179,-0.142578,163
0.5419312,219,-0.1899414,204
0.753235,240,0.01818849,226
0.7144166,276,-0.09204093,257
0.5274047,318,-0.1351318,303
0.5497435,341,-0.05389419,327
0.6669312,378,-0.1335449,357
0.6042479,423,-0.2902832,395
0.5109863,454,-0.08386233,439
0.50708,478,-0.08178711,462
-0.1380613,534,-0.7636718,497
0.8142089,622,-0.3183594,586
0.5048828,657,-0.2590943,641
0.6168213,690,-0.1296999,673
0.663452,726,-0.04931629,706
0.4945679,773,-0.2525024,754
0.5376586,805,-0.08923341,789
0.6370851,833,0.1075439,813
0.597351,876,-0.09283446,859
0.4883423,896,0.02331543,892
0.7379149,933,-0.04241943,913
0.5368651,969,-0.1849365,961
0.4574585,999,-0.05908198,985
0.6856689,1036,-0.03015137,1016
0.5999146,1083,-0.2776488,1053
0.419983,1104,-0.06298833,1099
0.6952515,1141,-0.06292719,1122
0.6340333,1179,-0.1327514,1158
0.7329713,1212,0.02789314,1197
0.7717894,1250,-0.07037351,1233
0.5481567,1295,-0.3639527,1267
0.4752196,1317,0.02716061,1312
0.4739381,1355,-0.1229858,1340
-0.3432007,1440,-0.7785644,1426
0.5699464,1516,-0.2825927,1482
0.807312,1553,0.1530151,1532
0.5678101,1585,-0.3406371,1569
0.8395386,1625,-0.0721435,1607
0.6234741,1673,-0.3009645,1642
0.4899294,1705,-0.1083375,1689
0.4292603,1736,-0.0998535,1720
0.513977,1779,-0.1184081,1761
0.5119018,1802,-0.09692374,1787
0.6540527,1839,-0.09808354,1826
0.7152709,1883,-0.2105104,1867
0.6461793,1943,-0.08435063,1924
0.3151855,1979,-0.2418212,1972
0.4782716,2011,-0.04925531,1995
0.3167726,2047,-0.168396,2034
