Peak,Peak Time,Valley,Valley Time
1.369446,170,-0.3325194,132
1.248352,206,0.2872315,187
1.505493,235,0.6254272,217
1.354492,268,0.3229981,251
1.226929,303,0.1573486,287
1.38147,333,0.5654907,315
1.222107,366,0.2077025,350
1.098816,406,0.0894775,388
1.406494,439,0.5141601,424
1.068604,467,0.395691,455
1.201904,607,-0.2272951,587
1.318115,650,0.1513061,633
1.317078,682,0.4640504,666
1.330017,717,0.3096924,702
1.174805,758,0.1004027,737
1.291443,790,0.446106,773
1.309692,821,0.328125,806
1.149048,856,0.2766725,843
1.275085,889,0.536377,872
1.351501,922,0.3526611,905
1.221008,961,0.1018067,944
1.330505,995,0.5269775,977
1.2229,1023,0.4234009,1011
1.126465,1062,0.06286619,1047
1.243652,1096,0.5484619,1079
1.241943,1129,0.4490358,1113
1.073181,1168,0.1270752,1154
1.184814,1205,0.5582886,1190
1.225647,1235,0.3113403,1221
1.15564,1274,0.1088258,1260
1.236877,1309,0.5683595,1291
1.190125,1342,0.3232422,1325
1.096863,1376,0.3552247,1361
1.189514,1501,-0.1781005,1482
1.072327,1542,0.1016237,1527
1.179565,1573,0.411499,1564
1.19751,1609,0.383728,1593
1.006897,1650,0.2457887,1636
1.214295,1687,0.4834595,1671
1.240906,1718,0.3610229,1703
1.21698,1757,0.2485962,1743
1.265503,1792,0.4097292,1774
1.174927,1825,0.3826292,1809
1.170837,1862,0.2396851,1851
1.28833,1894,0.578186,1879
1.134216,1930,0.4691162,1910
1.100708,1969,0.2192993,1955
1.224854,2000,0.5863038,1990
1.094727,2034,0.5099487,2016
1.023316,2076,0.5717164,2043
