Peak,Peak Time,Valley,Valley Time
0.7339479,191,0.09661874,174
0.835022,293,-0.06665048,274
0.7651367,351,0.2840575,333
0.8095703,389,0.04016118,367
0.6464844,427,0.2366333,411
0.7358398,456,0.1482545,440
0.4352417,491,-0.3306274,475
0.8274537,587,-0.01684574,548
0.8914795,637,-0.1636352,616
0.7479858,700,0.1788941,682
0.8261108,739,0.04840082,722
0.7214355,774,0.3170166,761
0.777832,846,0.04132068,820
0.7415773,908,0.3247072,866
0.7593995,951,-0.05474862,926
0.7296753,1008,0.300171,995
0.8366699,1053,-0.05151368,1023
0.7208863,1109,0.2644043,1093
0.8509522,1157,-0.1621095,1135
0.626709,1225,0.1386719,1209
0.8034668,1262,-0.2492675,1245
0.8250731,1322,0.3023683,1306
0.6547852,1368,-0.1051025,1343
0.8482667,1485,0.01074219,1444
0.7428589,1532,-0.006530821,1503
0.7192382,1589,0.2950439,1573
0.7467042,1641,-0.09112549,1611
0.744507,1699,0.2398071,1683
0.7966919,1744,0.02404783,1719
0.70459,1813,0.2493897,1798
0.6877441,1852,-0.02062977,1826
0.7035523,1910,0.1917114,1894
0.8108521,1958,-0.06726082,1936
0.6817018,2020,0.2615966,2004
0.4195558,2057,-0.3668824,2040
0.8630372,2229,-0.2684327,2198
