                檔案名稱:F_left_9touch22touch15_sean.csv
============================================================
Peak time:170     peak:1.369446       Valley time:132     valley:-0.3325194       Occur time:178
Stroke Detected! Peak time:206     peak:1.248352       Valley time:187     valley:0.2872315       Occur time:213
Stroke Detected! Peak time:235     peak:1.505493       Valley time:217     valley:0.6254272       Occur time:242
Stroke Detected! Peak time:268     peak:1.354492       Valley time:251     valley:0.3229981       Occur time:274
Stroke Detected! Peak time:303     peak:1.226929       Valley time:287     valley:0.1573486       Occur time:311
Stroke Detected! Peak time:333     peak:1.38147       Valley time:315     valley:0.5654907       Occur time:341
Stroke Detected! Peak time:366     peak:1.222107       Valley time:350     valley:0.2077025       Occur time:375
Stroke Detected! Peak time:406     peak:1.098816       Valley time:388     valley:0.0894775       Occur time:413
Stroke Detected! Peak time:439     peak:1.406494       Valley time:424     valley:0.5141601       Occur time:446
Stroke Detected! Peak time:467     peak:1.068604       Valley time:455     valley:0.395691       Occur time:475
Peak time:607     peak:1.201904       Valley time:587     valley:-0.2272951       Occur time:618
Stroke Detected! Peak time:650     peak:1.318115       Valley time:633     valley:0.1513061       Occur time:658
Stroke Detected! Peak time:682     peak:1.317078       Valley time:666     valley:0.4640504       Occur time:691
Stroke Detected! Peak time:717     peak:1.330017       Valley time:702     valley:0.3096924       Occur time:725
Stroke Detected! Peak time:758     peak:1.174805       Valley time:737     valley:0.1004027       Occur time:763
Stroke Detected! Peak time:790     peak:1.291443       Valley time:773     valley:0.446106       Occur time:795
Stroke Detected! Peak time:821     peak:1.309692       Valley time:806     valley:0.328125       Occur time:829
Stroke Detected! Peak time:856     peak:1.149048       Valley time:843     valley:0.2766725       Occur time:867
Stroke Detected! Peak time:889     peak:1.275085       Valley time:872     valley:0.536377       Occur time:898
Stroke Detected! Peak time:922     peak:1.351501       Valley time:905     valley:0.3526611       Occur time:930
Stroke Detected! Peak time:961     peak:1.221008       Valley time:944     valley:0.1018067       Occur time:969
Stroke Detected! Peak time:995     peak:1.330505       Valley time:977     valley:0.5269775       Occur time:1001
Stroke Detected! Peak time:1023     peak:1.2229       Valley time:1011     valley:0.4234009       Occur time:1032
Stroke Detected! Peak time:1062     peak:1.126465       Valley time:1047     valley:0.06286619       Occur time:1074
Stroke Detected! Peak time:1096     peak:1.243652       Valley time:1079     valley:0.5484619       Occur time:1105
Stroke Detected! Peak time:1129     peak:1.241943       Valley time:1113     valley:0.4490358       Occur time:1138
Stroke Detected! Peak time:1168     peak:1.073181       Valley time:1154     valley:0.1270752       Occur time:1179
Stroke Detected! Peak time:1205     peak:1.184814       Valley time:1190     valley:0.5582886       Occur time:1212
Stroke Detected! Peak time:1235     peak:1.225647       Valley time:1221     valley:0.3113403       Occur time:1246
Stroke Detected! Peak time:1274     peak:1.15564       Valley time:1260     valley:0.1088258       Occur time:1285
Stroke Detected! Peak time:1309     peak:1.236877       Valley time:1291     valley:0.5683595       Occur time:1317
Stroke Detected! Peak time:1342     peak:1.190125       Valley time:1325     valley:0.3232422       Occur time:1350
Stroke Detected! Peak time:1376     peak:1.096863       Valley time:1361     valley:0.3552247       Occur time:1384
Peak time:1501     peak:1.189514       Valley time:1482     valley:-0.1781005       Occur time:1510
Stroke Detected! Peak time:1542     peak:1.072327       Valley time:1527     valley:0.1016237       Occur time:1552
Stroke Detected! Peak time:1573     peak:1.179565       Valley time:1564     valley:0.411499       Occur time:1585
Stroke Detected! Peak time:1609     peak:1.19751       Valley time:1593     valley:0.383728       Occur time:1618
Stroke Detected! Peak time:1650     peak:1.006897       Valley time:1636     valley:0.2457887       Occur time:1660
